method,k,traffic,ir,mean,std,n,ci95
OddEven,16,uniform,0.02,439.4372,15.0145,5,13.1608
OddEven,16,uniform,0.04,651.73,22.1502,5,19.4155
OddEven,16,uniform,0.08,793.2282,19.1132,5,16.7535
QRouting,4,hotspot,0.005,395.825,71.311,5,62.5069
QRouting,4,hotspot,0.01,537.648,41.0843,5,36.0119
QRouting,4,hotspot,0.02,759.8664,36.3298,5,31.8445
QRouting,4,hotspot,0.04,888.2868,20.0999,5,17.6183
QRouting,4,hotspot,0.08,954.3024,12.3578,5,10.8321
QRouting,4,transpose,0.005,37.2673,0.4206,5,0.3687
QRouting,4,transpose,0.01,41.1178,0.2656,5,0.2328
QRouting,4,transpose,0.02,55.4457,1.6793,5,1.472
QRouting,4,transpose,0.04,373.7514,52.0005,5,45.5805
QRouting,4,transpose,0.08,512.909,12.4016,5,10.8705
QRouting,4,uniform,0.005,39.3214,0.39,5,0.3418
QRouting,4,uniform,0.01,46.2594,1.672,5,1.4656
QRouting,4,uniform,0.02,68.7513,2.3171,5,2.031
QRouting,4,uniform,0.04,476.6586,18.4156,5,16.142
QRouting,4,uniform,0.08,626.5244,21.3062,5,18.6757
QRouting,8,hotspot,0.005,658.5278,19.0963,5,16.7387
QRouting,8,hotspot,0.01,762.4006,39.7279,5,34.823
QRouting,8,hotspot,0.02,858.3638,37.8627,5,33.1881
QRouting,8,hotspot,0.04,937.956,27.5596,5,24.157
QRouting,8,hotspot,0.08,979.3458,5.1906,5,4.5497
QRouting,8,transpose,0.005,55.7921,0.8662,5,0.7592
QRouting,8,transpose,0.01,74.5991,2.105,5,1.8451
QRouting,8,transpose,0.02,329.4868,26.5473,5,23.2697
QRouting,8,transpose,0.04,399.1972,8.1682,5,7.1597
QRouting,8,transpose,0.08,648.5746,7.6363,5,6.6935
QRouting,8,uniform,0.005,58.4812,0.7665,5,0.6719
QRouting,8,uniform,0.01,79.5674,0.9268,5,0.8124
QRouting,8,uniform,0.02,431.2566,89.0112,5,78.0218
QRouting,8,uniform,0.04,575.3858,35.091,5,30.7586
QRouting,8,uniform,0.08,755.4798,35.0739,5,30.7437
QRouting,16,hotspot,0.005,831.4824,31.3996,5,27.5229
QRouting,16,hotspot,0.01,858.9724,9.683,5,8.4875
QRouting,16,hotspot,0.02,945.0024,19.3694,5,16.9781
QRouting,16,hotspot,0.04,958.4558,17.2001,5,15.0765
QRouting,16,hotspot,0.08,990.3218,11.6127,5,10.179
QRouting,16,transpose,0.005,116.7292,2.783,5,2.4394
QRouting,16,transpose,0.01,240.2776,3.94,5,3.4536
QRouting,16,transpose,0.02,379.9444,8.6484,5,7.5807
QRouting,16,transpose,0.04,530.8306,6.0555,5,5.3079
QRouting,16,transpose,0.08,722.2318,13.121,5,11.5011
QRouting,16,uniform,0.005,111.1814,1.7905,5,1.5694
QRouting,16,uniform,0.01,276.0814,27.1825,5,23.8265
QRouting,16,uniform,0.02,399.0042,44.3081,5,38.8378
QRouting,16,uniform,0.04,382.6518,56.3558,5,49.398
QRouting,16,uniform,0.08,449.867,133.9805,5,117.439
XY,4,hotspot,0.005,417.8288,69.32,5,60.7617
XY,4,hotspot,0.01,576.9296,30.2908,5,26.5511
XY,4,hotspot,0.02,767.2682,25.5363,5,22.3836
XY,4,hotspot,0.04,886.0704,24.2202,5,21.23
XY,4,hotspot,0.08,952.8126,6.5648,5,5.7543
XY,4,transpose,0.005,37.9948,0.5568,5,0.4881
XY,4,transpose,0.01,44.6442,2.1355,5,1.8719
XY,4,transpose,0.02,231.6118,36.7356,5,32.2001
XY,4,transpose,0.04,456.454,25.6998,5,22.5269
XY,4,transpose,0.08,526.6392,8.3979,5,7.3611
XY,4,uniform,0.005,39.1068,1.1039,5,0.9676
XY,4,uniform,0.01,44.0518,0.7741,5,0.6785
XY,4,uniform,0.02,62.9661,1.774,5,1.555
XY,4,uniform,0.04,413.9232,29.1337,5,25.5368
XY,4,uniform,0.08,604.8056,6.5694,5,5.7583
XY,8,hotspot,0.005,563.7644,47.3455,5,41.5001
XY,8,hotspot,0.01,713.5678,23.2893,5,20.414
XY,8,hotspot,0.02,855.6348,35.0546,5,30.7267
XY,8,hotspot,0.04,931.5878,9.1791,5,8.0458
XY,8,hotspot,0.08,977.3292,11.497,5,10.0776
XY,8,transpose,0.005,60.472,1.7254,5,1.5123
XY,8,transpose,0.01,216.8032,20.3798,5,17.8637
XY,8,transpose,0.02,298.238,10.3639,5,9.0844
XY,8,transpose,0.04,423.296,6.286,5,5.51
XY,8,transpose,0.08,632.9214,10.7037,5,9.3822
XY,8,uniform,0.005,54.1828,0.5855,5,0.5132
XY,8,uniform,0.01,69.4401,0.5697,5,0.4994
XY,8,uniform,0.02,237.368,39.6412,5,34.7471
XY,8,uniform,0.04,514.895,8.3216,5,7.2942
XY,8,uniform,0.08,755.9466,16.7019,5,14.6399
